selection_rank,model_name,dataset,pr_auc,roc_auc,brier_score,recall,precision,f1,balanced_accuracy,mcc,review_rate,business_cost,false_negative,false_positive,true_positive,true_negative
1,xgboost_weighted,validation,0.22939320733623356,0.7511010108925632,0.20409188102458142,0.7207899067471202,0.17142857142857143,0.2769814502529511,0.6872488246930802,0.22124107312406294,0.38015176313048654,5720500.0,509,6351,1314,11989
2,random_forest_balanced,validation,0.22339799343980157,0.7437131323910937,0.19821762064962345,0.6851343938562808,0.17378600250452206,0.2772475027746948,0.6806806102323935,0.21636664129181105,0.35644497346625004,5839000.0,574,5938,1249,12402
3,logistic_regression_balanced,validation,0.21967490711144289,0.7443898722909916,0.20838572944667147,0.6823916620954471,0.17083218895907717,0.2732564524986271,0.6765829629997411,0.21084905946501398,0.36115657392253137,5914000.0,579,6038,1244,12302
